10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
Manual run 4:10_UV,,Manual run 4:10_Cond,,Manual run 4:10_Cond%,,Manual run 4:10_Conc,,Manual run 4:10_Pressure,,Manual run 4:10_Flow,,Manual run 4:10_Temp,,Manual run 4:10_Fractions,,Manual run 4:10_Inject,,Manual run 4:10_Logbook,
ml, mAU,ml, mS/cm,ml, %,ml, %B,ml, MPa,ml, ml/min,ml, °C,ml,(Fractions),ml,(Injections),ml,(Set Marks)
3.76,473.21,3.76,19.52,3.76,19.50,3.76,100.00,3.76,0.28,3.76,0.75,3.76,8.30,,,,,,
3.89,467.90,3.89,19.54,3.89,19.50,3.89,100.00,3.89,0.28,3.89,0.75,3.89,8.30,,,,,,
4.02,461.70,4.02,19.55,4.02,19.60,4.02,100.00,4.02,0.28,4.02,0.75,4.02,8.30,,,,,,
4.15,416.51,4.15,19.56,4.15,19.60,4.15,100.00,4.15,0.35,4.15,1.00,4.15,8.30,,,,,,
4.28,392.59,4.28,19.52,4.28,19.50,4.28,100.00,4.28,0.36,4.28,1.00,4.28,8.30,,,,,,
4.41,386.16,4.41,19.52,4.41,19.50,4.41,100.00,4.41,0.37,4.41,1.00,4.41,8.20,,,,,,
4.54,381.10,4.54,19.53,4.54,19.50,4.54,100.00,4.54,0.37,4.54,1.00,4.54,8.20,,,,,,
4.67,378.23,4.67,19.53,4.67,19.50,4.67,100.00,4.67,0.36,4.67,1.00,4.67,8.20,,,,,,
4.80,374.50,4.80,19.54,4.80,19.50,4.80,100.00,4.80,0.36,4.80,1.00,4.80,8.20,,,,,,
4.93,369.89,4.93,19.55,4.93,19.50,4.93,100.00,4.93,0.36,4.93,1.00,4.93,8.20,,,,,,
5.06,366.53,5.06,19.56,5.06,19.60,5.06,100.00,5.06,0.36,5.06,1.00,5.06,8.20,,,,,,
5.19,361.55,5.19,19.56,5.19,19.60,5.19,100.00,5.19,0.36,5.19,1.00,5.19,8.20,,,,,,
5.32,357.74,5.32,19.56,5.32,19.60,5.32,100.00,5.32,0.36,5.32,1.00,5.32,8.20,,,,,,
5.45,355.34,5.45,19.56,5.45,19.60,5.45,100.00,5.45,0.36,5.45,1.00,5.45,8.20,,,,,,
5.58,351.21,5.58,19.57,5.58,19.60,5.58,100.00,5.58,0.36,5.58,1.00,5.58,8.20,,,,,,
5.71,347.39,5.71,19.57,5.71,19.60,5.71,100.00,5.71,0.36,5.71,1.00,5.71,8.20,,,,,,
5.84,344.50,5.84,19.57,5.84,19.60,5.84,100.00,5.84,0.36,5.84,1.00,5.84,8.20,,,,,,
5.97,339.67,5.97,19.57,5.97,19.60,5.97,100.00,5.97,0.36,5.97,1.00,5.97,8.20,,,,,,
6.10,336.49,6.10,19.57,6.10,19.60,6.10,100.00,6.10,0.36,6.10,1.00,6.10,8.20,,,,,,
6.23,333.21,6.23,19.57,6.23,19.60,6.23,100.00,6.23,0.36,6.23,1.00,6.23,8.20,,,,,,
6.36,329.05,6.36,19.57,6.36,19.60,6.36,100.00,6.36,0.36,6.36,1.00,6.36,8.20,,,,,,
6.49,326.34,6.49,19.57,6.49,19.60,6.49,100.00,6.49,0.36,6.49,1.00,6.49,8.20,,,,,,
6.62,323.42,6.62,19.57,6.62,19.60,6.62,100.00,6.62,0.36,6.62,1.00,6.62,8.20,,,,,,
6.75,319.44,6.75,19.56,6.75,19.60,6.75,100.00,6.75,0.37,6.75,1.00,6.75,8.20,,,,,,
6.88,316.23,6.88,19.56,6.88,19.60,6.88,100.00,6.88,0.36,6.88,1.00,6.88,8.20,,,,,,
7.01,313.80,7.01,19.56,7.01,19.60,7.01,100.00,7.01,0.36,7.01,1.00,7.01,8.20,,,,,,
7.14,309.34,7.14,19.56,7.14,19.60,7.14,100.00,7.14,0.36,7.14,1.00,7.14,8.20,,,,,,
7.27,306.66,7.27,19.56,7.27,19.60,7.27,100.00,7.27,0.36,7.27,1.00,7.27,8.20,,,,,,
7.40,303.87,7.40,19.56,7.40,19.60,7.40,100.00,7.40,0.36,7.40,1.00,7.40,8.10,,,,,,
7.53,300.22,7.53,19.56,7.53,19.60,7.53,100.00,7.53,0.36,7.53,1.00,7.53,8.10,,,,,,
7.66,297.55,7.66,19.56,7.66,19.60,7.66,100.00,7.66,0.36,7.66,1.00,7.66,8.10,,,,,,
7.79,295.08,7.79,19.56,7.79,19.60,7.79,100.00,7.79,0.36,7.79,1.00,7.79,8.10,,,,,,
7.92,290.92,7.92,19.56,7.91,19.60,7.91,100.00,7.91,0.36,7.92,1.00,7.92,8.10,,,,,,
8.05,288.95,8.04,19.56,8.04,19.60,8.04,100.00,8.04,0.36,8.04,1.00,8.04,8.10,,,,,,
8.17,286.11,8.17,19.56,8.17,19.60,8.17,100.00,8.17,0.36,8.17,1.00,8.17,8.10,,,,,,
8.30,282.22,8.30,19.56,8.30,19.60,8.30,100.00,8.30,0.36,8.30,1.00,8.30,8.10,,,,,,
8.43,279.98,8.43,19.56,8.43,19.60,8.43,100.00,8.43,0.36,8.43,1.00,8.43,8.10,,,,,,
8.56,278.34,8.56,19.56,8.56,19.60,8.56,100.00,8.56,0.36,8.56,1.00,8.56,8.10,,,,,,
8.69,273.32,8.69,19.56,8.69,19.60,8.69,100.00,8.69,0.36,8.69,1.00,8.69,8.10,,,,,,
8.82,271.93,8.82,19.56,8.82,19.60,8.82,100.00,8.82,0.36,8.82,1.00,8.82,8.10,,,,,,
8.95,269.44,8.95,19.56,8.95,19.60,8.95,100.00,8.95,0.36,8.95,1.00,8.95,8.10,,,,,,
9.08,264.99,9.08,19.56,9.08,19.60,9.08,100.00,9.08,0.37,9.08,1.00,9.08,8.10,,,,,,
9.21,261.74,9.21,19.56,9.21,19.60,9.21,100.00,9.21,0.36,9.21,1.00,9.21,8.10,,,,,,
9.34,260.45,9.34,19.56,9.34,19.60,9.34,100.00,9.34,0.36,9.34,1.00,9.34,8.10,,,,,,
9.47,254.95,9.47,19.56,9.47,19.60,9.47,100.00,9.47,0.36,9.47,1.00,9.47,8.10,,,,,,
9.60,250.97,9.60,19.56,9.60,19.60,9.60,100.00,9.60,0.36,9.60,1.00,9.60,8.10,,,,,,
9.73,250.47,9.73,19.56,9.73,19.60,9.73,100.00,9.73,0.36,9.73,1.00,9.73,8.10,,,,,,
9.86,12.42,9.86,19.56,9.86,19.60,9.86,100.00,9.86,0.36,9.86,1.00,9.86,8.10,,,,,,
9.99,12.42,9.99,19.55,9.99,19.50,9.99,100.00,9.99,0.36,9.99,1.00,9.99,8.10,,,,,,
10.12,12.51,10.12,19.56,10.12,19.60,10.12,100.00,10.12,0.36,10.12,1.00,10.12,8.10,,,,,,
10.25,12.53,10.25,19.56,10.25,19.60,10.25,100.00,10.25,0.29,10.25,1.00,10.25,8.10,,,,,,
10.38,12.65,10.38,19.57,10.38,19.60,10.38,100.00,10.38,0.36,10.38,1.00,10.38,8.10,,,,,,
10.51,12.59,10.51,19.56,10.51,19.60,10.51,100.00,10.51,0.36,10.51,1.00,10.51,8.10,,,,,,
10.64,12.62,10.64,19.56,10.64,19.60,10.64,100.00,10.64,0.36,10.64,1.00,10.64,8.10,,,,,,
10.77,12.80,10.77,19.56,10.77,19.60,10.77,100.00,10.77,0.36,10.77,1.00,10.77,8.10,,,,,,
10.90,12.60,10.90,19.57,10.90,19.60,10.90,100.00,10.90,0.36,10.90,1.00,10.90,8.10,,,,,,
11.03,12.63,11.03,19.57,11.03,19.60,11.03,100.00,11.03,0.36,11.03,1.00,11.03,8.00,,,,,,
11.16,12.72,11.16,19.57,11.16,19.60,11.16,100.00,11.16,0.36,11.16,1.00,11.16,8.00,,,,,,
11.29,12.68,11.29,19.57,11.29,19.60,11.29,100.00,11.29,0.36,11.29,1.00,11.29,8.00,,,,,,
11.42,12.92,11.42,19.57,11.42,19.60,11.42,100.00,11.42,0.36,11.42,1.00,11.42,8.00,,,,,,
11.55,12.73,11.55,19.57,11.55,19.60,11.55,100.00,11.55,0.36,11.55,1.00,11.55,8.00,,,,,,
11.68,12.92,11.68,19.57,11.68,19.60,11.68,100.00,11.68,0.36,11.68,1.00,11.68,8.00,,,,,,
11.81,12.91,11.81,19.57,11.81,19.60,11.81,100.00,11.81,0.36,11.81,1.00,11.81,8.00,,,,,,
11.94,12.96,11.94,19.57,11.94,19.60,11.94,100.00,11.94,0.36,11.94,1.00,11.94,8.00,,,,,,
12.07,12.99,12.07,19.57,12.07,19.60,12.07,100.00,12.07,0.36,12.07,1.00,12.07,8.00,,,,,,
12.20,12.91,12.20,19.58,12.20,19.60,12.20,100.00,12.20,0.36,12.20,1.00,12.20,8.00,,,,,,
12.33,12.97,12.33,19.59,12.33,19.60,12.33,100.00,12.33,0.36,12.33,1.00,12.33,8.00,,,,,,
12.46,13.28,12.46,19.59,12.46,19.60,12.46,100.00,12.46,0.36,12.46,1.00,12.46,8.00,,,,,,
12.59,13.11,12.59,19.59,12.59,19.60,12.59,100.00,12.59,0.36,12.59,1.00,12.59,8.00,,,,,,
12.72,13.12,12.72,19.58,12.72,19.60,12.72,100.00,12.72,0.36,12.72,1.00,12.72,8.00,,,,,,
12.85,13.08,12.85,19.58,12.85,19.60,12.85,100.00,12.85,0.36,12.85,1.00,12.85,8.00,,,,,,
12.98,13.06,12.98,19.56,12.98,19.60,12.98,100.00,12.98,0.36,12.98,1.00,12.98,8.00,,,,,,
13.11,13.10,13.11,19.56,13.11,19.60,13.11,100.00,13.11,0.36,13.11,1.00,13.11,8.00,,,,,,
13.24,13.19,13.24,19.55,13.23,19.60,13.23,100.00,13.23,0.36,13.24,1.00,13.24,8.00,,,,,,
13.37,13.25,13.36,19.55,13.36,19.50,13.36,100.00,13.36,0.36,13.36,1.00,13.36,8.00,,,,,,
13.49,13.27,13.49,19.55,13.49,19.50,13.49,100.00,13.49,0.36,13.49,1.00,13.49,8.00,,,,,,
13.62,13.31,13.62,19.54,13.62,19.50,13.62,100.00,13.62,0.36,13.62,1.00,13.62,8.00,,,,,,
13.75,13.27,13.75,19.54,13.75,19.50,13.75,100.00,13.75,0.36,13.75,1.00,13.75,8.00,,,,,,
13.88,13.39,13.88,19.53,13.88,19.50,13.88,100.00,13.88,0.36,13.88,1.00,13.88,8.00,,,,,,
14.01,13.35,14.01,19.52,14.01,19.50,14.01,100.00,14.01,0.36,14.01,1.00,14.01,8.00,,,,,,
14.14,13.29,14.14,19.51,14.14,19.50,14.14,100.00,14.14,0.36,14.14,1.00,14.14,8.00,,,,,,
14.27,13.40,14.27,19.51,14.27,19.50,14.27,100.00,14.27,0.36,14.27,1.00,14.27,8.00,,,,,,
14.40,13.40,14.40,19.51,14.40,19.50,14.40,100.00,14.40,0.37,14.40,1.00,14.40,8.00,,,,,,
14.53,13.54,14.53,19.49,14.53,19.50,14.53,100.00,14.53,0.36,14.53,1.00,14.53,8.00,,,,,,
14.66,13.48,14.66,19.49,14.66,19.50,14.66,100.00,14.66,0.36,14.66,1.00,14.66,8.00,,,,,,
14.79,13.50,14.79,19.49,14.79,19.50,14.79,100.00,14.79,0.36,14.79,1.00,14.79,8.00,,,,,,
14.92,13.55,14.92,19.48,14.92,19.50,14.92,100.00,14.92,0.36,14.92,1.00,14.92,8.00,,,,,,
15.05,13.51,15.05,19.48,15.05,19.50,15.05,100.00,15.05,0.36,15.05,1.00,15.05,8.00,,,,,,
15.18,13.42,15.18,19.48,15.18,19.50,15.18,100.00,15.18,0.37,15.18,1.00,15.18,8.00,,,,,,
15.31,13.51,15.31,19.47,15.31,19.50,15.31,100.00,15.31,0.36,15.31,1.00,15.31,8.00,,,,,,
15.44,13.55,15.44,19.47,15.44,19.50,15.44,100.00,15.44,0.36,15.44,1.00,15.44,8.00,,,,,,
15.57,13.63,15.57,19.48,15.57,19.50,15.57,100.00,15.57,0.36,15.57,1.00,15.57,8.00,,,,,,
15.70,13.54,15.70,19.47,15.70,19.50,15.70,100.00,15.70,0.36,15.70,1.00,15.70,8.00,,,,,,
15.83,13.62,15.83,19.47,15.83,19.50,15.83,100.00,15.83,0.36,15.83,1.00,15.83,8.00,,,,,,
15.96,13.63,15.96,19.48,15.96,19.50,15.96,100.00,15.96,0.36,15.96,1.00,15.96,8.00,,,,,,
16.09,13.63,16.09,19.47,16.09,19.50,16.09,100.00,16.09,0.36,16.09,1.00,16.09,8.00,,,,,,
16.22,13.67,16.22,19.47,16.22,19.50,16.22,100.00,16.22,0.36,16.22,1.00,16.22,7.90,,,,,,
16.35,13.76,16.35,19.46,16.35,19.50,16.35,100.00,16.35,0.36,16.35,1.00,16.35,7.90,,,,,,
16.48,13.69,16.48,19.46,16.48,19.50,16.48,100.00,16.48,0.36,16.48,1.00,16.48,7.90,,,,,,
16.61,13.62,16.61,19.47,16.61,19.50,16.61,100.00,16.61,0.36,16.61,1.00,16.61,7.90,,,,,,
16.74,13.73,16.74,19.46,16.74,19.50,16.74,100.00,16.74,0.36,16.74,1.00,16.74,7.90,,,,,,
16.87,13.69,16.87,19.47,16.87,19.50,16.87,100.00,16.87,0.36,16.87,1.00,16.87,7.90,,,,,,
17.00,13.66,17.00,19.47,17.00,19.50,17.00,100.00,17.00,0.36,17.00,1.00,17.00,7.90,,,,,,
