10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
Manual run 1:10_UV,,Manual run 1:10_Cond,,Manual run 1:10_Cond%,,Manual run 1:10_Conc,,Manual run 1:10_Pressure,,Manual run 1:10_Flow,,Manual run 1:10_Temp,,Manual run 1:10_Fractions,,Manual run 1:10_Inject,,Manual run 1:10_Logbook,
ml, mAU,ml, mS/cm,ml, %,ml, %B,ml, MPa,ml, ml/min,ml, øC,ml,(Fractions),ml,(Injections),ml,(Set Marks)
1.39,10.27,1.44,22.32,1.44,22.3,1.44,100,1.44,2.39,1.44,0.6,1.73,8.2,19.89,29,,,21.9,"Continue 18.02.2025, 22:13:39 (Manual)"
1.44,10.41,1.5,22.31,1.5,22.3,1.5,100,1.5,2.4,1.5,0.6,1.79,8.2,20.39,30,,,22.28,No more tubes
1.49,10.46,1.55,22.3,1.55,22.3,1.55,100,1.55,2.39,1.55,0.6,1.86,8.2,20.89,31,,,22.28,"Pause 18.02.2025, 22:14:14 (System)"
1.53,10.5,1.6,22.3,1.6,22.3,1.6,100,1.6,2.4,1.6,0.6,1.92,8.1,21.39,32,,,22.28,<ACK> default No more tubes
1.58,10.49,1.65,22.3,1.65,22.3,1.65,100,1.65,2.41,1.65,0.6,1.98,8.1,21.89,33,,,22.28,Fractionation_Stop_900  (Manual)
1.63,10.39,1.7,22.29,1.7,22.3,1.7,100,1.7,2.39,1.7,0.6,2.04,8,22.28,Waste,,,22.28,"Continue 18.02.2025, 22:14:28 (Manual)"
1.68,10.45,1.75,22.29,1.75,22.3,1.75,100,1.75,2.41,1.75,0.6,2.1,8,,,,,22.65,'Frac' [0] error {30}: Feed tube error
1.73,10.47,1.8,22.29,1.81,22.3,1.81,100,1.81,2.39,1.8,0.6,2.17,8,,,,,22.65,"Pause 18.02.2025, 22:15:04 (Manual)"
1.78,10.36,1.86,22.28,1.86,22.3,1.86,100,1.86,2.39,1.86,0.6,2.23,7.9,,,,,22.65,"Continue 18.02.2025, 22:15:09 (Manual)"
1.83,10.36,1.91,22.28,1.91,22.3,1.91,100,1.91,2.4,1.91,0.6,2.29,7.9,,,,,,
1.88,10.38,1.96,22.27,1.96,22.3,1.96,100,1.96,2.4,1.96,0.6,2.35,7.9,,,,,,
1.93,10.34,2.01,22.32,2.01,22.3,2.01,100,2.01,1.39,2.01,0.6,2.41,7.8,,,,,,
1.98,10.39,2.06,22.44,2.06,22.4,2.06,100,2.06,2.02,2.06,0.6,2.48,7.8,,,,,,
2.03,10.56,2.11,22.37,2.11,22.4,2.11,100,2.11,2.25,2.11,0.6,2.54,7.8,,,,,,
2.08,10.41,2.17,22.32,2.17,22.3,2.17,100,2.17,2.35,2.17,0.6,2.6,7.8,,,,,,
2.13,10.45,2.22,22.3,2.22,22.3,2.22,100,2.22,2.38,2.22,0.6,2.66,7.7,,,,,,
2.18,10.46,2.27,22.31,2.27,22.3,2.27,100,2.27,2.4,2.27,0.6,2.72,7.7,,,,,,
2.23,10.57,2.32,22.3,2.32,22.3,2.32,100,2.32,2.4,2.32,0.6,2.78,7.7,,,,,,
2.28,10.48,2.37,22.28,2.37,22.3,2.37,100,2.37,2.4,2.37,0.6,2.85,7.7,,,,,,
2.33,10.42,2.42,22.27,2.42,22.3,2.42,100,2.42,2.42,2.42,0.6,2.91,7.7,,,,,,
2.38,10.63,2.48,22.26,2.48,22.3,2.48,100,2.48,2.41,2.48,0.6,2.97,7.6,,,,,,
2.43,10.55,2.53,22.26,2.53,22.3,2.53,100,2.53,2.41,2.53,0.6,3.03,7.6,,,,,,
2.48,10.46,2.58,22.26,2.58,22.3,2.58,100,2.58,2.41,2.58,0.6,3.09,7.6,,,,,,
2.53,10.54,2.63,22.26,2.63,22.3,2.63,100,2.63,2.4,2.63,0.6,3.16,7.6,,,,,,
2.57,10.33,2.68,22.26,2.68,22.3,2.68,100,2.68,2.41,2.68,0.6,3.22,7.5,,,,,,
2.62,10.55,2.73,22.26,2.73,22.3,2.73,100,2.73,2.41,2.73,0.6,3.28,7.5,,,,,,
2.67,10.37,2.78,22.26,2.79,22.3,2.79,100,2.79,2.42,2.78,0.6,3.34,7.5,,,,,,
2.72,10.51,2.84,22.26,2.84,22.3,2.84,100,2.84,2.42,2.84,0.6,3.4,7.5,,,,,,
2.77,10.55,2.89,22.27,2.89,22.3,2.89,100,2.89,2.41,2.89,0.6,3.47,7.5,,,,,,
2.82,10.54,2.94,22.28,2.94,22.3,2.94,100,2.94,2.42,2.94,0.6,3.53,7.5,,,,,,
2.87,10.51,2.99,22.29,2.99,22.3,2.99,100,2.99,2.41,2.99,0.6,3.59,7.4,,,,,,
2.92,10.48,3.04,22.29,3.04,22.3,3.04,100,3.04,2.41,3.04,0.6,3.65,7.4,,,,,,
2.97,10.53,3.09,22.3,3.09,22.3,3.09,100,3.09,2.42,3.09,0.6,3.71,7.4,,,,,,
3.02,10.44,3.15,22.3,3.15,22.3,3.15,100,3.15,2.41,3.15,0.6,3.77,7.4,,,,,,
3.07,10.47,3.2,22.31,3.2,22.3,3.2,100,3.2,2.42,3.2,0.6,3.84,7.4,,,,,,
3.12,10.59,3.25,22.31,3.25,22.3,3.25,100,3.25,2.41,3.25,0.6,3.9,7.4,,,,,,
3.17,10.47,3.3,22.32,3.3,22.3,3.3,100,3.3,2.41,3.3,0.6,3.96,7.4,,,,,,
3.22,10.53,3.35,22.32,3.35,22.3,3.35,100,3.35,2.42,3.35,0.6,4.02,7.3,,,,,,
3.27,10.54,3.4,22.32,3.4,22.3,3.4,100,3.4,2.4,3.4,0.6,4.08,7.3,,,,,,
3.32,10.42,3.45,22.33,3.46,22.3,3.46,100,3.46,2.42,3.45,0.6,4.15,7.3,,,,,,
3.37,10.6,3.51,22.33,3.51,22.3,3.51,100,3.51,2.41,3.51,0.6,4.21,7.3,,,,,,
3.42,10.6,3.56,22.34,3.56,22.3,3.56,100,3.56,2.42,3.56,0.6,4.27,7.3,,,,,,
3.47,10.52,3.61,22.34,3.61,22.3,3.61,100,3.61,2.42,3.61,0.6,4.33,7.3,,,,,,
3.52,10.54,3.66,22.34,3.66,22.3,3.66,100,3.66,2.41,3.66,0.6,4.39,7.3,,,,,,
3.56,10.6,3.71,22.35,3.71,22.3,3.71,100,3.71,2.42,3.71,0.6,4.46,7.3,,,,,,
3.61,10.59,3.76,22.35,3.76,22.3,3.76,100,3.76,2.41,3.76,0.6,4.52,7.3,,,,,,
3.66,10.53,3.82,22.36,3.82,22.4,3.82,100,3.82,2.41,3.82,0.6,4.58,7.3,,,,,,
3.71,10.54,3.87,22.36,3.87,22.4,3.87,100,3.87,2.42,3.87,0.6,4.64,7.3,,,,,,
3.76,10.51,3.92,22.36,3.92,22.4,3.92,100,3.92,2.41,3.92,0.6,4.7,7.3,,,,,,
3.81,10.56,3.97,22.37,3.97,22.4,3.97,100,3.97,2.42,3.97,0.6,4.76,7.3,,,,,,
3.86,10.59,4.02,22.37,4.02,22.4,4.02,100,4.02,2.42,4.02,0.6,4.83,7.3,,,,,,
3.91,10.55,4.07,22.37,4.07,22.4,4.07,100,4.07,2.41,4.07,0.6,4.89,7.2,,,,,,
3.96,10.51,4.13,22.38,4.13,22.4,4.13,100,4.13,2.42,4.13,0.6,4.95,7.2,,,,,,
4.01,10.5,4.18,22.38,4.18,22.4,4.18,100,4.18,2.41,4.18,0.6,5.01,7.2,,,,,,
4.06,10.65,4.23,22.39,4.23,22.4,4.23,100,4.23,2.42,4.23,0.6,5.07,7.2,,,,,,
4.11,10.5,4.28,22.39,4.28,22.4,4.28,100,4.28,2.41,4.28,0.6,5.14,7.2,,,,,,
4.16,10.63,4.33,22.39,4.33,22.4,4.33,100,4.33,2.41,4.33,0.6,5.2,7.3,,,,,,
4.21,10.64,4.38,22.4,4.38,22.4,4.38,100,4.38,2.42,4.38,0.6,5.26,7.4,,,,,,
4.26,10.73,4.43,22.4,4.44,22.4,4.44,100,4.44,2.41,4.43,0.6,5.32,7.5,,,,,,
4.31,10.63,4.49,22.4,4.49,22.4,4.49,100,4.49,2.41,4.49,0.6,5.38,7.5,,,,,,
4.36,10.51,4.54,22.41,4.54,22.4,4.54,100,4.54,2.41,4.54,0.6,5.45,7.5,,,,,,
4.41,10.6,4.59,22.41,4.59,22.4,4.59,100,4.59,2.41,4.59,0.6,5.51,7.5,,,,,,
4.46,10.58,4.64,22.41,4.64,22.4,4.64,100,4.64,2.42,4.64,0.6,5.57,7.7,,,,,,
4.51,10.56,4.69,22.41,4.69,22.4,4.69,100,4.69,2.41,4.69,0.6,5.63,7.7,,,,,,
4.56,10.71,4.74,22.42,4.74,22.4,4.74,100,4.74,2.42,4.74,0.6,5.69,7.7,,,,,,
4.6,10.73,4.8,22.42,4.8,22.4,4.8,100,4.8,2.41,4.8,0.6,5.75,7.8,,,,,,
4.65,10.64,4.85,22.42,4.85,22.4,4.85,100,4.85,2.4,4.85,0.6,5.82,7.8,,,,,,
4.7,10.62,4.9,22.42,4.9,22.4,4.9,100,4.9,2.41,4.9,0.6,5.88,7.8,,,,,,
4.75,10.66,4.95,22.42,4.95,22.4,4.95,100,4.95,2.41,4.95,0.6,5.94,7.8,,,,,,
4.8,10.73,5,22.43,5,22.4,5,100,5,2.41,5,0.6,6,7.8,,,,,,
4.85,10.62,5.05,22.43,5.05,22.4,5.05,100,5.05,2.42,5.05,0.6,6.06,7.8,,,,,,
4.9,10.69,5.1,22.44,5.11,22.4,5.11,100,5.11,2.41,5.1,0.6,6.13,7.8,,,,,,
4.95,10.64,5.16,22.44,5.16,22.4,5.16,100,5.16,2.41,5.16,0.6,6.19,7.8,,,,,,
5,10.62,5.21,22.95,5.21,23,5.21,100,5.21,0.59,5.21,0.6,6.25,7.8,,,,,,
5.05,10.76,5.26,22.82,5.26,22.8,5.26,100,5.26,1.66,5.26,0.6,6.31,7.8,,,,,,
5.1,10.72,5.31,22.75,5.31,22.7,5.31,100,5.31,2.09,5.31,0.6,6.37,7.8,,,,,,
5.15,10.67,5.36,22.69,5.36,22.7,5.36,100,5.36,2.25,5.36,0.6,6.44,7.8,,,,,,
5.2,10.64,5.41,22.65,5.42,22.6,5.42,100,5.42,2.35,5.41,0.6,6.5,7.8,,,,,,
5.25,10.7,5.47,22.62,5.47,22.6,5.47,100,5.47,2.38,5.47,0.6,6.56,7.8,,,,,,
5.3,10.65,5.52,22.61,5.52,22.6,5.52,100,5.52,2.38,5.52,0.6,6.62,7.8,,,,,,
5.35,10.74,5.57,23.01,5.57,23,5.57,100,5.57,0.94,5.57,0.6,6.68,7.8,,,,,,
5.4,10.75,5.62,22.88,5.62,22.9,5.62,100,5.62,1.79,5.62,0.6,6.74,7.8,,,,,,
5.45,10.76,5.67,22.8,5.67,22.8,5.67,100,5.67,2.13,5.67,0.6,6.81,7.8,,,,,,
5.5,10.74,5.72,22.74,5.72,22.7,5.72,100,5.72,2.27,5.72,0.6,6.87,7.8,,,,,,
5.55,10.76,5.78,22.69,5.78,22.7,5.78,100,5.78,2.34,5.78,0.6,6.93,7.8,,,,,,
5.6,10.78,5.83,22.67,5.83,22.7,5.83,100,5.83,2.37,5.83,0.6,6.99,7.8,,,,,,
5.64,10.76,5.88,22.65,5.88,22.7,5.88,100,5.88,2.38,5.88,0.6,7.05,7.9,,,,,,
5.69,10.74,5.93,22.64,5.93,22.6,5.93,100,5.93,2.39,5.93,0.6,7.12,7.9,,,,,,
5.74,10.74,5.98,22.64,5.98,22.6,5.98,100,5.98,2.38,5.98,0.6,7.18,7.9,,,,,,
5.79,10.84,6.03,22.63,6.03,22.6,6.03,100,6.03,2.38,6.03,0.6,7.24,7.9,,,,,,
5.84,10.83,6.08,22.62,6.09,22.6,6.09,100,6.09,2.38,6.08,0.6,7.3,7.9,,,,,,
5.89,10.84,6.14,22.62,6.14,22.6,6.14,100,6.14,2.38,6.14,0.6,7.36,7.9,,,,,,
5.94,10.84,6.19,22.62,6.19,22.6,6.19,100,6.19,2.4,6.19,0.6,7.43,7.9,,,,,,
5.99,10.83,6.24,22.62,6.24,22.6,6.24,100,6.24,2.39,6.24,0.6,7.49,7.9,,,,,,
6.04,10.8,6.29,22.62,6.29,22.6,6.29,100,6.29,2.39,6.29,0.6,7.55,7.9,,,,,,
6.09,10.83,6.34,22.62,6.34,22.6,6.34,100,6.34,2.4,6.34,0.6,7.61,7.9,,,,,,
6.14,10.81,6.39,22.62,6.4,22.6,6.4,100,6.4,2.38,6.39,0.6,7.67,7.9,,,,,,
6.19,10.79,6.45,22.62,6.45,22.6,6.45,100,6.45,2.39,6.45,0.6,7.73,7.9,,,,,,
6.24,10.78,6.5,22.62,6.5,22.6,6.5,100,6.5,2.38,6.5,0.6,7.8,7.9,,,,,,
6.29,10.8,6.55,22.62,6.55,22.6,6.55,100,6.55,2.38,6.55,0.6,7.86,7.9,,,,,,
6.34,10.77,6.6,22.62,6.6,22.6,6.6,100,6.6,2.4,6.6,0.6,7.92,7.9,,,,,,
6.39,10.76,6.65,22.63,6.65,22.6,6.65,100,6.65,2.39,6.65,0.6,7.98,7.9,,,,,,
6.44,10.79,6.7,22.63,6.7,22.6,6.7,100,6.7,2.39,6.7,0.6,8.04,7.9,,,,,,
6.49,10.8,6.75,22.63,6.76,22.6,6.76,100,6.76,2.38,6.75,0.6,8.11,7.9,,,,,,
6.54,10.76,6.81,22.62,6.81,22.6,6.81,100,6.81,2.38,6.81,0.6,8.17,8,,,,,,
6.59,10.83,6.86,22.62,6.86,22.6,6.86,100,6.86,2.39,6.86,0.6,8.23,8,,,,,,
6.63,10.78,6.91,22.62,6.91,22.6,6.91,100,6.91,2.38,6.91,0.6,8.29,8,,,,,,
6.68,10.9,6.96,22.62,6.96,22.6,6.96,100,6.96,2.39,6.96,0.6,8.35,8,,,,,,
6.73,10.84,7.01,22.63,7.01,22.6,7.01,100,7.01,2.39,7.01,0.6,8.42,8,,,,,,
6.78,10.98,7.06,22.63,7.07,22.6,7.07,100,7.07,2.38,7.06,0.6,8.48,8,,,,,,
6.83,10.86,7.12,22.62,7.12,22.6,7.12,100,7.12,2.39,7.12,0.6,8.54,8,,,,,,
6.88,10.9,7.17,22.62,7.17,22.6,7.17,100,7.17,2.38,7.17,0.6,8.6,8,,,,,,
6.93,10.81,7.22,22.62,7.22,22.6,7.22,100,7.22,2.38,7.22,0.6,8.66,8,,,,,,
6.98,10.93,7.27,22.63,7.27,22.6,7.27,100,7.27,2.38,7.27,0.6,8.72,8,,,,,,
7.03,10.93,7.32,22.63,7.32,22.6,7.32,100,7.32,2.38,7.32,0.6,8.79,8,,,,,,
7.08,10.88,7.37,22.63,7.38,22.6,7.38,100,7.38,2.39,7.37,0.6,8.85,8,,,,,,
7.13,10.97,7.43,22.63,7.43,22.6,7.43,100,7.43,2.38,7.43,0.6,8.91,8,,,,,,
7.18,11.03,7.48,22.63,7.48,22.6,7.48,100,7.48,2.39,7.48,0.6,8.97,8,,,,,,
7.23,10.95,7.53,22.63,7.53,22.6,7.53,100,7.53,0.93,7.53,0.6,9.03,8,,,,,,
7.28,11,7.58,22.72,7.58,22.7,7.58,100,7.58,1.74,7.58,0.6,9.1,8,,,,,,
7.33,11.14,7.63,22.72,7.63,22.7,7.63,100,7.63,2.1,7.63,0.6,9.16,8,,,,,,
7.38,11.04,7.68,22.69,7.68,22.7,7.68,100,7.68,2.26,7.68,0.6,9.22,8,,,,,,
7.43,11.09,7.73,22.67,7.74,22.7,7.74,100,7.74,2.33,7.73,0.6,9.28,8,,,,,,
7.48,11.17,7.79,22.65,7.79,22.7,7.79,100,7.79,2.35,7.79,0.6,9.34,8,,,,,,
7.53,11.18,7.84,22.65,7.84,22.6,7.84,100,7.84,2.37,7.84,0.6,9.41,8.1,,,,,,
7.58,11.24,7.89,22.65,7.89,22.6,7.89,100,7.89,2.38,7.89,0.6,9.47,8.1,,,,,,
7.63,11.23,7.94,22.64,7.94,22.6,7.94,100,7.94,2.38,7.94,0.6,9.53,8.1,,,,,,
7.67,11.33,7.99,22.64,7.99,22.6,7.99,100,7.99,2.38,7.99,0.6,9.59,8.1,,,,,,
7.72,11.3,8.04,22.64,8.05,22.6,8.05,100,8.05,2.39,8.04,0.6,9.65,8.1,,,,,,
7.77,11.42,8.1,22.64,8.1,22.6,8.1,100,8.1,2.38,8.1,0.6,9.71,8.1,,,,,,
7.82,11.6,8.15,22.64,8.15,22.6,8.15,100,8.15,2.38,8.15,0.6,9.78,8.1,,,,,,
7.87,11.74,8.2,22.64,8.2,22.6,8.2,100,8.2,2.38,8.2,0.6,9.84,8.1,,,,,,
7.92,11.99,8.25,22.64,8.25,22.6,8.25,100,8.25,2.38,8.25,0.6,9.9,8.1,,,,,,
7.97,12.27,8.3,22.64,8.3,22.6,8.3,100,8.3,2.38,8.3,0.6,9.96,8.1,,,,,,
8.02,12.77,8.35,22.64,8.36,22.6,8.36,100,8.36,2.38,8.35,0.6,10.02,8.2,,,,,,
